#name	control	treatment1	treatment2
citG	3038.050049	3335.860107	3151.219971
ydfC	4480.330078	4703.104980	5444.125000
pinR	0.000000	0.000000	0.000000
thiS	11057.059570	4001.584961	3375.864990
ypeB	2464.439941	2340.179932	1691.104980
cusC	3171.745117	2043.400024	1595.300049
yafQ	4784.535156	2411.764893	2322.179932
eutT	4818.779785	3091.899902	2431.290039
ushA	3880.489990	5441.479980	6489.049805
yheV	4024.330078	3001.090088	4281.859863
uspG	2494.260010	5398.549805	4726.259766
hyfR	2976.350098	5683.939941	5213.330078
acrS	0.000000	0.000000	0.000000
ddlA	3209.280029	5359.814941	4489.384766
nuoL	4159.334961	8238.019531	6674.299805
yibW	3330.385010	4602.000000	4611.214844
yjaA	3607.419922	4307.490234	5642.350098
ihfA	6857.569824	2853.709961	1898.349976
betB	4609.870117	3632.060059	3830.729980
yobI	11115.830078	1724.214966	1934.885010
hypE	2706.889893	3200.270020	1487.349976
sfmZ	0.000000	0.000000	0.000000
hisS	4212.919922	6856.330078	4345.229980
pepD	4879.665039	6649.830078	6666.615234
yehP	3879.879883	5541.910156	6796.669922
rpoZ	2407.094971	3277.040039	1055.135010
ynbD	1574.420044	5787.080078	9463.750000
pka	0.000000	0.000000	0.000000
moaC	2094.635010	2500.500000	2064.399902
allS	5384.410156	2238.229980	2241.360107
yajI	6507.270020	3540.524902	4184.600098
plsC	3077.439941	3081.014893	4021.304932
hflK	5025.299805	7353.354980	4139.125000
frwC	7565.089844	7787.459961	9426.200195
yqhH	1572.209961	4488.790039	3293.689941
ybgE	955.500000	8142.759766	5852.060059
yhjJ	1729.545044	2522.054932	2689.239990
ftsY	3919.949951	3447.415039	3003.344971
uvrA	2726.689941	4067.830078	2160.439941
ispD	1801.290039	5571.660156	2531.290039
fliS	3807.300049	5424.035156	6595.290039
codA	4217.584961	2763.475098	2790.500000
malQ	5451.064941	5049.540039	6568.350098
dtpA	4426.819824	5385.625000	6303.274902
azoR	3605.750000	3786.304932	4401.475098
paaF	4973.049805	5448.479980	7157.959961
yhcE	5906.240234	9243.809570	10624.129883
yiaO	8576.700195	4675.600098	6893.649902
ymfQ	3201.475098	2673.885010	3284.054932
yraR	7497.229980	3993.280029	5006.600098
yfaS	4216.209961	3952.889893	4859.799805
rssB	3057.469971	5613.384766	5959.779785
oweE	4023.149902	7929.189941	7956.450195
gstB	0.000000	0.000000	0.000000
lyxK	6235.879883	3712.530029	5343.169922
hcr	4750.504883	2776.044922	3099.754883
hupB	2780.080078	2442.040039	2306.360107
lldR	4564.870117	4904.509766	4822.029785
hicB	2908.770020	2909.080078	3284.479980
kgtP	3194.159912	5219.459961	7626.129883
cspF	3983.760010	7329.520020	7974.779785
dadX	4304.330078	3860.570068	3218.235107
yhcO	1913.869995	1716.689941	2227.350098
ybhD	6320.509766	4088.264893	5040.089844
lamB	3722.169922	5875.910156	6097.399902
ahpC	3147.360107	4950.859863	2626.100098
leuU	7377.145020	4934.995117	4137.354980
xisD	5662.770020	10773.629883	10698.450195
nupX	3974.469971	3503.399902	5649.790039
glk	3310.939941	8771.115234	11604.540039
ycjO	1266.699951	7300.740234	8213.919922
mlc	0.000000	0.000000	0.000000
yaeR	1023.729980	4870.459961	4615.390137
tsaC	0.000000	0.000000	0.000000
trpS	4839.160156	2765.179932	2158.100098
yeiH	3089.074951	5562.009766	6143.104980
rho	3316.360107	9677.709961	5186.060059
glgP	3494.889893	4385.120117	3536.219971
yafT	4921.410156	3657.290039	4003.250000
hemG	9390.799805	5744.930176	4460.540039
yjcS	3017.510010	2944.179932	3190.520020
ydiP	2611.604980	3956.645020	4245.854980
yceM	3019.544922	5255.250000	4290.549805
thiG	3414.530029	1722.895020	2225.544922
ybhH	3772.860107	2895.570068	2274.209961
yliI	2922.080078	4400.750000	5183.625000
rclA	0.000000	0.000000	0.000000
rcnA	2401.659912	4196.279785	5458.080078
nuoJ	4474.160156	13288.254883	13606.014648
yihN	3983.679932	4718.004883	6311.115234
bcsQ	2974.540039	2587.879883	3255.120117
ycbJ	4329.819824	3673.860107	3213.840088
hypA	7453.430176	6266.250000	3654.050049
ybdD	716.400024	3217.709961	2873.409912
flgA	5846.830078	7470.189941	12158.900391
dicA	5600.709961	705.559998	923.015015
yqiG	4570.020020	3474.340088	3343.750000
cynT	3364.449951	3197.540039	3895.750000
pfkB	5178.265137	2180.250000	2240.090088
mntH	4235.685059	7037.115234	7895.620117
lolB	1442.479980	6060.785156	3284.965088
recN	3461.790039	3102.389893	4439.879883
yjeI	4710.520020	2948.239990	3558.000000
yhdU	4884.319824	3602.290039	4632.819824
gloB	5789.589844	3455.280029	5013.629883
yfcV	2123.405029	3560.814941	3720.790039
ycgY	1691.290039	2625.354980	2893.965088
mog	6897.080078	2215.354980	2838.540039
ftsP	2546.149902	5475.069824	5456.504883
yiiR	5154.540039	6303.600098	8083.549805
ldrD	811.580017	436.119995	489.250000
mhpT	5085.310059	3725.780029	4853.779785
epmB	0.000000	0.000000	0.000000
yqeH	1180.854980	1658.204956	1111.780029
can	2373.614990	4325.020020	2600.185059
tgt	5146.555176	5965.939941	3492.719971
ymdF	8131.919922	2938.169922	3773.540039
ydjK	4050.544922	3850.320068	5150.274902
tqsA	3400.245117	5471.205078	6447.390137
ylbE	4341.015137	5448.504883	7324.294922
hofC	3096.320068	5783.930176	7050.229980
nudB	3575.860107	3761.250000	1497.270020
yfaL	4020.510010	5834.600098	8362.830078
ybiI	4967.399902	5371.919922	5825.140137
cysD	1796.219971	6256.004883	6362.115234
wzyE	3221.399902	6558.379883	7948.200195
napH	2279.780029	4865.890137	4461.450195
hybB	3912.705078	5218.884766	5044.220215
glsB	0.000000	0.000000	0.000000
zapD	0.000000	0.000000	0.000000
glf	4182.290039	6927.669922	4583.589844
flgM	6609.790039	3998.199951	3787.419922
yibS	4442.294922	5003.484863	5112.319824
ybbC	3341.949951	3030.310059	3949.820068
focB	4978.129883	3748.300049	6260.950195
rdgC	4451.299805	5856.049805	5423.919922
ygeO	1688.030029	3464.629883	2026.550049
rhsD	999.489990	1297.645020	1492.900024
rnlA	4631.220215	8036.149902	8627.389648
hofB	2471.229980	3956.804932	4772.140137
argE	2860.449951	5456.629883	8076.674805
aspV	8621.009766	836.609985	320.299988
omrB	1987.369995	2408.550049	3143.469971
cycA	4238.274902	5799.149902	6521.490234
yaiC	0.000000	0.000000	0.000000
hiuH	3653.520020	3199.344971	3496.149902
plsY	6319.229980	5136.180176	6510.479980
yqfE	1941.199951	4123.689941	4797.740234
yfbR	4182.865234	2474.439941	2365.810059
folX	1480.359985	5309.169922	5574.990234
ypeC	1536.204956	2605.314941	4278.004883
yjjM	4583.770020	4854.370117	5269.299805
fadI	4312.685059	4108.325195	4080.550049
rhmT	6019.875000	5370.240234	6075.404785
birA	6058.310059	7794.040039	8031.259766
ymgE	1824.349976	2831.429932	5022.689941
frwD	7091.700195	4695.455078	4937.649902
pal	5783.359863	4879.049805	3268.820068
ybgL	4158.839844	1817.040039	1715.329956
ykgQ	4873.055176	4099.330078	4749.694824
iscA	2664.939941	4729.029785	4893.154785
rob	3365.699951	8257.209961	5814.390137
moaD	3158.699951	2273.550049	2686.520020
yphF	3698.379883	3163.709961	3817.419922
nudI	4103.629883	4284.140137	3763.570068
purR	2975.149902	4617.479980	3147.120117
trxC	1476.989990	3606.949951	4481.080078
yagI	1695.050049	1140.160034	979.950012
ldrB	0.000000	0.000000	0.000000
rutD	4072.040039	2987.989990	3332.479980
uhpC	1952.170044	4923.100098	9677.709961
rraA	2905.850098	2019.329956	3750.439941
lacZ	3745.379883	4033.314941	4563.935059
csgD	2972.629883	5005.660156	7036.500000
sapC	4903.560059	3046.524902	3253.915039
xerC	3829.739990	4426.120117	3538.000000
ydjY	2552.639893	7505.649902	9642.969727
wzzB	0.000000	0.000000	0.000000
ydaW	3370.590088	4114.879883	5536.100098
panM	0.000000	0.000000	0.000000
ompW	1588.270020	3638.709961	3040.810059
mrr	6243.509766	7011.129883	9505.059570
araE	3944.395020	4008.955078	3753.530029
mngA	4385.540039	3557.754883	4870.365234
pykA	3654.889893	4356.939941	2124.719971
flgF	5059.604980	2453.479980	3802.439941
yjeN	2444.040039	7353.875000	8935.349609
gatA	4510.689941	20707.609375	5459.000000
accC	3095.600098	3154.719971	1593.189941
mhpA	2722.479980	3873.530029	5340.089844
ecpR	0.000000	0.000000	0.000000
uidR	2315.419922	9445.299805	9964.379883
rnpA	2987.689941	17280.449219	4452.540039
ansP	4785.129883	3940.100098	4877.194824
yebE	2357.679932	4836.830078	4645.370117
yheU	5560.330078	6924.899902	6215.430176
rrsH	7410.509766	19615.580078	129.639999
metJ	7586.169922	2515.699951	1913.489990
yniC	4212.180176	6061.044922	5905.979980
sucB	3807.679932	3213.719971	1980.770020
yagU	4451.854980	5024.665039	7733.935059
ygiM	3841.989990	8109.790039	8923.750000
nrdI	5479.709961	4564.290039	3975.649902
yehL	4775.209961	4568.770020	5868.080078
emrY	4725.350098	4476.089844	4738.689941
baeR	1554.689941	3307.120117	3187.495117
yeaL	5176.439941	4482.660156	5375.910156
phoQ	5098.250000	5028.529785	7296.819824
ychN	1398.000000	5568.479980	7449.044922
pphB	5578.450195	3745.709961	5258.419922
yfeN	4161.705078	5586.895020	7062.285156
pspD	4103.250000	6437.149902	8343.440430
phoH	2975.530029	1799.619995	1551.979980
ylaB	5665.995117	4337.020020	5373.455078
speG	6606.725098	3860.264893	4383.484863
adhP	3578.639893	8351.959961	9920.650391
yagM	4961.609863	2897.620117	2844.794922
nadK	3080.020020	3481.620117	3100.570068
rhmD	3359.020020	5871.180176	7446.270020
yecN	743.390015	5114.770020	5226.990234
gatC	3257.250000	18148.615234	6655.555176
yfcG	4133.220215	4300.870117	4205.955078
mnmE	4410.939941	4300.490234	3501.080078
cyoB	4832.899902	3873.669922	3945.239990
yedY	5019.080078	4376.685059	5918.839844
