#name	id
citG	eco:b0613
ydfC	eco:b1573
pinR	eco:b1374
thiS	eco:b4407
ypeB	eco:b4546
cusC	eco:b0572
yafQ	eco:b0225
eutT	eco:b2459
ushA	eco:b0480
yheV	eco:b4551
uspG	eco:b0607
hyfR	eco:b2491
acrS	eco:b3264
ddlA	eco:b0381
nuoL	eco:b2278
yibW	eco:b4651
yjaA	eco:b4011
ihfA	eco:b1712
betB	eco:b0312
yobI	eco:b4677
hypE	eco:b2730
sfmZ	eco:b0535
hisS	eco:b2514
pepD	eco:b0237
yehP	eco:b2121
rpoZ	eco:b3649
ynbD	eco:b1411
pka	eco:b2584
moaC	eco:b0783
allS	eco:b0504
yajI	eco:b0412
plsC	eco:b3018
hflK	eco:b4174
frwC	eco:b3949
yqhH	eco:b3014
ybgE	eco:b0735
yhjJ	eco:b3527
ftsY	eco:b3464
uvrA	eco:b4058
ispD	eco:b2747
fliS	eco:b1925
codA	eco:b0337
malQ	eco:b3416
dtpA	eco:b1634
azoR	eco:b1412
paaF	eco:b1393
yhcE	eco:b4569
yiaO	eco:b3579
ymfQ	eco:b1153
yraR	eco:b3152
yfaS	eco:b4500
rssB	eco:b1235
oweE	eco:b4692
gstB	eco:b0838
lyxK	eco:b3580
hcr	eco:b0872
hupB	eco:b0440
lldR	eco:b3604
hicB	eco:b1438
kgtP	eco:b2587
cspF	eco:b1558
dadX	eco:b1190
yhcO	eco:b3239
ybhD	eco:b0768
lamB	eco:b4036
ahpC	eco:b0605
leuU	eco:b3174
xisD	eco:b4633
nupX	eco:b2161
glk	eco:b2388
ycjO	eco:b1311
mlc	eco:b1594
yaeR	eco:b0187
tsaC	eco:b3282
trpS	eco:b3384
yeiH	eco:b2158
rho	eco:b3783
glgP	eco:b3428
yafT	eco:b0217
hemG	eco:b3850
yjcS	eco:b4083
ydiP	eco:b1696
yceM	eco:b1068
thiG	eco:b3991
ybhH	eco:b0769
yliI	eco:b0837
rclA	eco:b0304
rcnA	eco:b2106
nuoJ	eco:b2280
yihN	eco:b3874
bcsQ	eco:b3534
ycbJ	eco:b0919
hypA	eco:b2726
ybdD	eco:b4512
flgA	eco:b1072
dicA	eco:b1570
yqiG	eco:b3046
cynT	eco:b0339
pfkB	eco:b1723
mntH	eco:b2392
lolB	eco:b1209
recN	eco:b2616
yjeI	eco:b4144
yhdU	eco:b3263
